"","worker_id","StartDate","EndDate","Status","IPAddress","Progress","Duration (in seconds)","Finished","RecordedDate","ResponseId","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","Q66_1","catch1","catch2","rehearse_question","rehearse_question_2_TEXT","conversation_focus","earworms","convo_memory_friend","convo_memory_friend_1_TEXT","convo_memory_self","convo_memory_self_1_TEXT","hearing_conversation","hearing_conversation_1_TEXT","sing_along","sing_along_thinking","other_voice_quality","other_voice_quality_1_TEXT","thinking_in_ideas","thinking_in_ideas_1_TEXT","express_inner_states","stress_IS","narrative_IS","dyslexia","revise_convo","rehearse_convo","exp_type_nodding_off","impulsiveness_1","impulsiveness_2","impulsiveness_3","others_experiences_1","others_experiences_4","others_experiences_5","others_experiences_DO_1","others_experiences_DO_4","others_experiences_DO_5","Q63_95","Q63_96","Q63_97","Q63_98","Q63_100","Q63_101","Q63_102","Q63_103","Q63_105","Q63_106","Q63_108","Q63_109","Q63_111","Q63_112","Q63_115","Factor2_1","Q63_116","Q63_117","catch3","VSIQ_DO_Q63_95","VSIQ_DO_Q63_96","VSIQ_DO_Q63_97","VSIQ_DO_Q63_98","VSIQ_DO_Q63_100","VSIQ_DO_Q63_101","VSIQ_DO_Q63_102","VSIQ_DO_Q63_103","VSIQ_DO_Q63_105","VSIQ_DO_Q63_106","VSIQ_DO_Q63_108","VSIQ_DO_Q63_109","VSIQ_DO_Q63_111","VSIQ_DO_Q63_112","VSIQ_DO_Q63_115","VSIQ_DO_Factor2_1","VSIQ_DO_Q63_116","VSIQ_DO_Q63_117","VSIQ_DO_catch3","Q319","Q320","Q321","Q323","education_level","Q325","Q326","comments","source","code","InnerSpeechQuestions_DO_conversation_focus","InnerSpeechQuestions_DO_impulsiveness_1","InnerSpeechQuestions_DO_convo_memory_self","InnerSpeechQuestions_DO_narrative_IS","InnerSpeechQuestions_DO_dyslexia","InnerSpeechQuestions_DO_sing_along_thinking","InnerSpeechQuestions_DO_revise_convo","InnerSpeechQuestions_DO_rehearse_convo","InnerSpeechQuestions_DO_express_inner_states","InnerSpeechQuestions_DO_impulsiveness_3","InnerSpeechQuestions_DO_exp_type_nodding_off","InnerSpeechQuestions_DO_stress_IS","InnerSpeechQuestions_DO_catch2","InnerSpeechQuestions_DO_sing_along","InnerSpeechQuestions_DO_rehearse_question","InnerSpeechQuestions_DO_other_voice_quality","InnerSpeechQuestions_DO_thinking_in_ideas","InnerSpeechQuestions_DO_impulsiveness_2","InnerSpeechQuestions_DO_earworms","InnerSpeechQuestions_DO_convo_memory_friend","InnerSpeechQuestions_DO_catch1","InnerSpeechQuestions_DO_hearing_conversation","VerbalScored","VisualScored","high_low_verbal"
"1","77543",2022-10-01 22:36:49,2022-10-01 22:42:35,0,"72.33.2.109",100,346,1,2022-10-01 22:42:35,"R_3h0IbtCF7n4Slvm",43.0812,-89.3845,"anonymous","EN",1,1,1,4,"-999",4,5,5,"-999",5,-999,3,"-999",4,5,4,"-999",2,"-999",1,3,1,2,5,4,3,2,5,2,80,100,100,1,2,3,3,4,1,1,5,5,4,4,5,5,4,1,5,3,3,5,5,5,5,10,8,7,9,2,6,17,19,1,4,13,12,5,3,18,16,14,11,15,1,1,"-999",19,2,NA,"Student","-999","sona","lFvPbxgrTriNQouvgdVO",3,19,5,21,14,8,2,1,17,20,15,12,16,7,10,9,13,18,22,4,11,6,4.58333333333333,3.8,"high_verbal"
"2","77593",2022-10-01 00:44:59,2022-10-01 01:00:10,0,"72.33.2.121",100,910,1,2022-10-01 01:00:10,"R_1fkqGqYa2KRfVdO",43.0812,-89.3845,"anonymous","EN",1,1,1,4,"-999",2,4,3,"-999",4,-999,3,"-999",4,4,4,"-999",2,"-999",4,1,2,3,5,5,2,2,5,3,91,100,100,1,2,3,1,4,1,2,2,4,5,1,4,5,3,4,5,1,4,4,2,3,5,16,18,12,19,6,17,3,13,14,1,15,2,5,9,4,11,7,10,8,1,1,"-999",18,2,NA,"Full time Student","-999","sona","xEHmaZnrTrkVRzDlMtIS",11,20,5,14,12,8,10,16,13,19,2,22,17,7,1,9,21,18,3,4,15,6,4.75,4.4,"high_verbal"
"3","77763",2022-10-01 20:43:45,2022-10-01 21:06:59,0,"72.33.2.95",100,1394,1,2022-10-01 21:07:00,"R_30oTAZ147mi4rRD",43.0812,-89.3845,"anonymous","EN",1,1,1,4,"-999",2,3,3,"-999",3,-999,3,"-999",4,2,4,"-999",2,"-999",4,2,1,3,3,2,1,4,3,3,36,31,72,1,2,3,3,2,1,4,2,4,2,4,4,4,4,2,2,4,2,2,2,4,5,19,12,7,3,9,13,2,4,14,17,16,18,6,1,15,11,5,8,10,1,1,"-999",18,2,NA,"Student","-999","sona","wngDjklrTraKzBWHZlKj",3,19,5,21,14,8,22,12,16,20,1,15,2,7,11,9,10,18,13,4,17,6,3,3.8,"low_verbal"
"4","77815",2022-10-02 14:38:15,2022-10-02 14:47:33,0,"52.124.37.97",100,557,1,2022-10-02 14:47:33,"R_29nuwnZmGzVgxF1",43.0334,-89.4512,"anonymous","EN",1,1,1,5,"-999",2,4,5,"-999",5,-999,4,"-999",4,2,4,"-999",2,"-999",2,2,3,3,5,5,5,4,5,1,92,92,93,1,2,3,3,2,1,4,2,3,4,4,5,4,4,2,4,4,4,5,5,4,5,10,2,6,14,5,15,11,16,9,8,18,13,19,4,1,7,12,17,3,2,1,"N/A",19,3,NA,"Student","-999","sona","pnzGqiBrTrxjjBEKBoZF",15,18,5,1,14,8,11,22,17,20,21,16,10,7,3,9,12,19,2,4,13,6,4.83333333333333,4.6,"high_verbal"
"5","77837",2022-10-04 16:54:07,2022-10-04 16:59:03,0,"72.33.2.220",100,296,1,2022-10-04 16:59:03,"R_31WBxVhjdy9TfF8",43.0812,-89.3845,"anonymous","EN",1,1,1,4,"-999",1,3,3,"-999",4,-999,2,"-999",3,4,3,"-999",2,"-999",3,1,2,3,4,2,1,4,5,3,59,49,30,1,2,3,5,4,2,2,2,3,4,5,5,5,4,4,5,4,2,2,5,4,5,9,3,18,7,4,13,15,14,8,19,10,1,12,6,17,5,16,11,2,1,1,"-999",18,2,NA,"Student","-999","sona","YEKhqhTrTrrsIDZNZdPo",2,19,5,15,1,8,10,14,22,18,13,3,11,7,16,9,17,20,12,4,21,6,4.58333333333333,3.5,"high_verbal"
"6","77866",2022-10-05 16:10:19,2022-10-05 16:18:56,0,"72.33.2.135",100,516,1,2022-10-05 16:18:56,"R_D2UKFMjzy5v0fsJ",43.0812,-89.3845,"anonymous","EN",1,1,1,5,"-999",2,3,3,"-999",3,-999,3,"-999",3,2,3,"-999",1,"I list the pros and cons and would could happen. I don't hear a voice talking through it in my head.",4,2,2,3,4,4,2,2,4,2,30,60,70,1,2,3,5,4,2,2,2,2,4,5,5,2,2,1,4,4,2,2,4,4,5,19,18,10,8,6,14,5,4,16,11,2,1,9,17,12,3,7,15,13,2,1,"-999",18,2,NA,"Currently unemployed","-999","sona","qRTRAbRrTrHrymvqSDgU",2,19,5,1,10,8,17,21,11,20,15,3,12,7,14,9,13,18,22,4,16,6,2.91666666666667,3.2,"low_verbal"
"7","78010",2022-10-03 01:47:32,2022-10-03 01:56:06,0,"72.33.2.109",100,513,1,2022-10-03 01:56:06,"R_1JVGe4Cbh2H45yy",43.0812,-89.3845,"anonymous","EN",1,1,1,4,"-999",2,4,4,"-999",4,-999,3,"-999",3,3,4,"-999",2,"-999",4,2,2,3,3,3,1,2,4,3,60,49,82,1,2,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,3,5,11,7,18,19,10,16,4,13,15,2,3,14,8,5,12,1,17,9,6,1,0,"Gujarati and Hindi",18,3,NA,"student","-999","sona","ZfgzpNNrTrBKoDpTJocT",1,19,5,3,22,8,2,16,11,18,13,14,21,7,12,9,17,20,10,4,15,6,2.83333333333333,3.1,"low_verbal"
"8","78099",2022-10-04 22:45:15,2022-10-04 22:52:22,0,"72.33.2.39",100,427,1,2022-10-04 22:52:23,"R_2QhwgZ54y2dYyMG",43.0812,-89.3845,"anonymous","EN",1,1,1,5,"-999",4,4,3,"-999",4,-999,4,"-999",3,3,4,"-999",2,"-999",5,2,3,3,5,5,2,5,5,5,81,93,91,1,2,3,5,5,4,5,4,5,5,5,4,5,5,4,5,5,5,5,5,5,5,2,11,15,9,16,10,8,6,13,5,12,14,7,3,17,1,19,18,4,2,1,"-999",18,2,NA,"student","-999","sona","pwkmHIsrTrwKUAGhcULQ",14,20,5,3,16,8,1,2,21,19,10,12,15,7,17,9,11,18,13,4,22,6,4.75,4.5,"high_verbal"
"9","78304",2022-10-04 18:05:06,2022-10-04 18:12:54,0,"72.33.2.201",100,467,1,2022-10-04 18:12:54,"R_1f6PRJ4P4VYQjXp",43.0812,-89.3845,"anonymous","EN",1,1,1,5,"-999",2,4,3,"-999",3,-999,4,"-999",2,2,4,"-999",2,"-999",5,1,2,3,5,4,1,2,5,2,40,92,100,1,2,3,1,5,3,3,2,1,5,1,5,5,5,3,5,1,5,2,5,5,5,9,5,10,1,19,8,17,18,13,15,4,14,12,6,16,3,11,2,7,2,1,"-999",18,4,"it was an associates of the arts degrees (like general classes)","full time student","-999","sona","HdyOjsYrTronewumyoHh",12,18,5,11,21,8,14,22,16,19,13,3,10,7,17,9,15,20,1,4,2,6,4.83333333333333,4,"high_verbal"
"10","78315",2022-09-30 20:10:04,2022-09-30 21:07:12,0,"72.33.2.189",100,3427,1,2022-09-30 21:07:13,"R_1DGpMO9H19nVpSs",43.0812,-89.3845,"anonymous","EN",1,1,1,3,"-999",1,3,3,"-999",3,-999,2,"-999",4,4,3,"-999",2,"-999",2,3,2,3,2,2,1,4,4,2,60,28,96,1,2,3,5,5,1,2,2,5,5,1,4,2,4,1,2,1,5,1,4,3,5,3,4,14,8,17,2,6,16,12,1,7,10,9,19,5,18,15,13,11,2,1,"-999",18,2,NA,"Student","-999","sona","eYwGeUkrTruTqhDSEYEJ",15,20,5,17,2,8,11,21,16,18,14,22,10,7,1,9,12,19,13,4,3,6,2.66666666666667,3.1,"low_verbal"
"11","78391",2022-10-01 21:43:47,2022-10-01 21:52:24,0,"97.95.52.62",100,517,1,2022-10-01 21:52:25,"R_2rPAHT6YXDY41jG",43.7746,-88.4376,"anonymous","EN",1,1,1,3,"-999",1,4,3,"-999",3,-999,3,"-999",4,4,4,"-999",2,"-999",4,1,1,3,3,2,5,1,5,3,31,93,100,1,2,3,2,2,1,1,1,1,4,2,1,2,2,1,1,1,4,2,4,2,5,3,6,4,11,10,2,19,1,12,16,13,8,9,5,14,15,7,18,17,2,1,"-999",18,2,NA,"Student","-999","sona","tvGkpwXrTruGIMFWikGz",10,20,5,13,22,8,14,12,17,18,2,1,21,7,16,9,15,19,3,4,11,6,3.08333333333333,3.9,"low_verbal"
"12","78422",2022-10-03 01:50:14,2022-10-03 02:01:12,0,"72.33.2.132",100,657,1,2022-10-03 02:01:12,"R_2fBEcynXW7sYTc8",43.0812,-89.3845,"anonymous","EN",1,1,1,5,"-999",5,5,3,"-999",4,-999,3,"-999",4,1,4,"-999",2,"-999",1,3,2,3,5,5,5,5,3,4,82,61,82,1,2,3,4,5,5,5,5,4,4,4,5,5,5,5,5,4,4,5,5,5,5,13,19,14,17,12,2,4,15,7,16,6,18,3,10,9,5,8,11,1,2,1,"-999",18,2,NA,"n/a","-999","sona","xxNrmEDrTraAATCrjLIr",1,20,5,14,17,8,15,22,3,19,10,2,11,7,21,9,12,18,13,4,16,6,4.75,3.9,"high_verbal"
"13","78471",2022-10-05 22:31:22,2022-10-05 22:38:32,0,"72.33.2.222",100,429,1,2022-10-05 22:38:32,"R_29xj9Bj3ompbE7T",43.0812,-89.3845,"anonymous","EN",1,1,1,3,"-999",1,5,3,"-999",3,-999,1,"i see it and feel it",4,3,4,"-999",1,"i just kinda get a vibe. like i do the words in head thing but most of my thoughts are more of just a feeling",4,1,2,3,5,4,2,5,3,4,50,70,88,1,2,3,2,2,1,1,1,1,4,4,4,4,4,4,2,4,2,4,4,4,5,10,1,17,4,5,11,15,16,6,2,19,13,14,3,12,18,7,9,8,1,1,"-999",18,3,NA,"student and childcare worker","The part with the pictures was weird cause some of them I couldn't figure out what word I as supposed to associate the with","sona","pvTMAlZrTrXZOFzfRLQS",14,19,5,11,17,8,2,10,13,20,16,15,1,7,21,9,3,18,12,4,22,6,4.83333333333333,3.2,"high_verbal"
"14","78478",2022-10-01 02:20:56,2022-10-01 02:30:00,0,"73.218.36.153",100,544,1,2022-10-01 02:30:00,"R_vqmiTVQSdS7flMl",41.3422,-72.4371,"anonymous","EN",1,1,1,5,"-999",2,4,3,"-999",4,-999,3,"-999",4,3,2,"-999",2,"-999",2,1,1,3,5,4,5,3,4,2,71,79,80,1,2,3,2,4,1,2,1,3,4,3,4,4,1,1,4,1,1,2,4,1,5,13,14,4,1,18,10,15,19,8,6,7,2,3,9,17,5,16,11,12,2,1,"-999",19,2,NA,"Student","-999","sona","WVmsryOrTriphRCeltnp",3,18,5,1,16,8,12,14,22,19,15,10,2,7,21,9,17,20,11,4,13,6,3,4,"low_verbal"
"15","78938",2022-10-03 05:34:29,2022-10-03 05:40:25,0,"50.93.222.85",100,356,1,2022-10-03 05:40:26,"R_20SdBvRPq1HXL1q",43.064,-89.3965,"anonymous","EN",1,1,1,4,"-999",3,5,3,"-999",3,-999,4,"-999",3,5,4,"-999",2,"-999",3,1,3,3,3,2,5,4,4,4,47,38,74,1,2,3,1,1,2,2,1,1,5,1,5,5,5,2,5,1,5,4,4,3,5,16,5,19,3,7,14,18,17,9,4,12,11,13,10,15,1,8,6,2,2,1,"-999",19,2,NA,"full time student","-999","sona","OAZssaQrTrNQhfEmSEsY",16,20,5,14,10,8,15,22,17,19,11,13,2,7,21,9,3,18,1,4,12,6,4.66666666666667,4.3,"high_verbal"
"16","79167",2022-10-01 01:49:25,2022-10-01 02:01:39,0,"24.240.32.133",100,733,1,2022-10-01 02:01:39,"R_2rPml2lT2hcXtEG",43.064,-89.3965,"anonymous","EN",1,1,1,5,"-999",4,5,3,"-999",3,-999,2,"-999",4,2,4,"-999",2,"-999",1,3,2,3,4,4,5,4,4,2,49,70,71,1,2,3,4,2,4,2,3,5,4,2,4,2,4,2,4,2,4,4,5,4,5,2,10,6,18,9,3,1,12,4,11,8,19,5,15,16,14,7,17,13,2,1,"-999",19,2,NA,"Student","-999","sona","ILrJlcorTrnnhTVFgQet",11,19,5,1,21,8,15,12,22,18,3,10,2,7,13,9,17,20,14,4,16,6,2.83333333333333,3.2,"low_verbal"
"17","79171",2022-10-04 04:21:33,2022-10-04 04:27:41,0,"68.187.64.3",100,368,1,2022-10-04 04:27:42,"R_3g7YyxMQ7S7rwol",43.0812,-89.3845,"anonymous","EN",1,1,1,5,"-999",2,4,2,"-999",4,-999,3,"-999",4,3,4,"-999",2,"-999",3,1,1,3,2,3,1,3,3,3,39,30,49,1,2,3,5,3,4,4,4,3,2,3,4,3,2,4,3,4,5,4,4,2,5,14,5,11,8,12,9,19,1,7,16,2,10,6,17,15,18,13,3,4,1,0,"Chinese",20,5,"undecided","student","-999","sona","VvodQrErTrANArygAKDc",1,20,5,12,2,8,15,13,14,18,3,10,21,7,11,9,22,19,16,4,17,6,2.75,2.8,"low_verbal"
"18","79178",2022-10-05 18:20:55,2022-10-05 18:33:14,0,"72.33.2.29",100,738,1,2022-10-05 18:33:14,"R_1dcW2gDhpZ9h9AH",43.0812,-89.3845,"anonymous","EN",1,1,1,5,"-999",2,5,3,"-999",3,-999,1,"I remember more of the actions that my friends were doing more than the conversation itself. Thinking about the actions they were doing usually is what helps me remember what the conversation was about.",4,2,3,"-999",1,"Thinking in ideas means to me that I organize my thinking as if I take mental notes and then combine all the notes in my head to make a coherent thought, plan, or action.",2,1,2,3,5,1,1,2,4,4,81,51,73,1,2,3,1,1,1,1,1,2,5,1,4,4,2,1,2,1,5,2,5,2,5,3,8,6,15,9,14,17,19,12,10,16,2,18,11,4,5,1,13,7,1,1,"-999",18,2,NA,"Student","-999","sona","ybhkwdHrTrHgQJOKEvKu",12,18,5,21,15,8,17,14,13,19,16,22,10,7,11,9,1,20,2,4,3,6,3.08333333333333,3.3,"low_verbal"
"19","79188",2022-10-05 04:11:13,2022-10-05 04:19:43,0,"71.90.85.219",100,510,1,2022-10-05 04:19:43,"R_OD0SJLxfHnZesq5",43.0812,-89.3845,"anonymous","EN",1,1,1,4,"-999",2,3,4,"-999",3,-999,3,"-999",4,4,4,"-999",1,"i just kind of think in short bursts of phrases. Especially when i'm planning out my afternoon, I'll talk aloud often and think like how i'm talking, ""first i will do this, then i will shower, then I will head to bed.""",4,1,2,3,3,2,2,2,4,4,19,49,96,1,2,3,2,2,1,2,1,2,4,2,4,2,5,2,2,2,2,4,4,2,5,3,14,17,10,19,11,9,13,7,16,12,18,15,8,6,1,5,2,4,2,1,"-999",20,3,NA,"student and CNA","-999","sona","ttVifhErTrAOtoJPpfbL",13,18,5,14,17,8,12,15,1,19,16,11,22,7,21,9,2,20,10,4,3,6,3.08333333333333,3.2,"low_verbal"
"20","79390",2022-10-03 00:21:27,2022-10-03 00:32:07,0,"50.93.222.67",100,640,1,2022-10-03 00:32:08,"R_31o5EQj6D9xb0m7",43.103,-89.5073,"anonymous","EN",1,1,1,5,"-999",3,4,4,"-999",4,-999,2,"-999",4,5,4,"-999",2,"-999",1,2,2,3,5,4,1,2,5,1,82,81,100,1,2,3,1,5,1,3,4,4,5,2,5,5,5,5,5,1,2,5,5,4,5,7,14,6,5,4,12,18,16,1,15,19,8,9,10,3,17,2,11,13,2,1,"-999",21,3,NA,"student","-999","sona","TgPJtJbrTrfIpwJIdtDv",2,19,5,1,3,8,11,16,10,18,22,12,21,7,17,9,14,20,13,4,15,6,4.66666666666667,3.3,"high_verbal"
"21","79437",2022-10-02 21:37:58,2022-10-02 21:46:54,0,"72.33.2.43",100,536,1,2022-10-02 21:46:55,"R_2t9hAdVgqDNquUd",43.0812,-89.3845,"anonymous","EN",1,1,1,4,"-999",3,4,4,"-999",4,-999,3,"-999",4,3,4,"-999",2,"-999",4,2,2,3,5,3,2,4,5,3,60,8,19,1,2,3,2,4,3,4,4,3,4,2,4,4,5,3,4,1,4,5,4,4,5,3,10,17,6,7,2,18,16,14,1,11,13,4,9,15,5,8,12,19,1,0,"Mandarin",18,2,NA,"College Student","-999","sona","ntWvuKQrTrsNoBGzBVNa",2,20,5,11,12,8,15,17,3,19,1,16,13,7,14,9,22,18,10,4,21,6,3,3.8,"low_verbal"
"22","79548",2022-09-30 20:54:46,2022-09-30 21:00:22,0,"72.33.2.225",100,335,1,2022-09-30 21:00:22,"R_3lsP5CHJTcFNFjg",43.0812,-89.3845,"anonymous","EN",1,1,1,5,"-999",4,5,4,"-999",4,-999,4,"-999",4,5,4,"-999",2,"-999",4,1,2,3,5,5,1,2,4,2,72,51,58,1,2,3,2,4,1,5,4,4,5,2,4,4,5,1,5,4,4,5,5,4,5,14,12,8,1,2,6,3,11,9,10,16,17,13,15,7,19,5,4,18,2,1,"-999",18,2,NA,"-999","-999","sona","cJxJXXCrTrZhHGQxNzWs",15,18,5,14,22,8,10,3,12,20,11,17,1,7,21,9,16,19,2,4,13,6,5,3.3,"high_verbal"
"23","79580",2022-10-01 00:19:32,2022-10-01 00:28:56,0,"72.33.2.63",100,564,1,2022-10-01 00:28:56,"R_vC8Y1UYITzyscI9",43.0812,-89.3845,"anonymous","EN",1,1,1,5,"-999",3,4,3,"-999",3,-999,2,"-999",3,2,4,"-999",1,"Sometimes when I think of an idea, I will self-respond to my own idea, kind of like a conversation, however the side coming up with the idea isn't its own perspective, so therefore it doesn't seem like a conversation to me.",4,1,2,3,3,2,4,2,5,2,50,81,19,1,2,3,2,4,1,2,1,2,3,3,5,3,4,1,3,2,4,4,4,1,5,15,14,11,2,9,7,8,5,4,13,17,18,3,12,6,16,1,19,10,1,1,"-999",18,2,NA,"Full-Time Student","-999","sona","TapiMzYrTrdPbNmVohzP",14,20,5,10,2,8,3,17,13,19,21,22,15,7,1,9,16,18,11,4,12,6,3,3.5,"low_verbal"
"24","79914",2022-09-30 22:02:25,2022-09-30 22:13:40,0,"72.33.2.180",100,675,1,2022-09-30 22:13:40,"R_POk0TRzYtfXigEh",43.0812,-89.3845,"anonymous","EN",1,1,1,5,"-999",4,4,5,"-999",5,-999,4,"-999",4,5,4,"-999",2,"-999",5,2,3,3,5,5,1,4,5,4,93,71,84,1,2,3,1,2,2,4,2,1,5,1,5,2,5,1,5,1,5,5,5,5,5,10,2,4,14,8,12,9,15,16,3,5,18,1,13,17,19,7,11,6,2,1,"-999",18,3,NA,"student","-999","sona","ZNJFMsZrTrkOSmxPXTuW",12,20,5,1,17,8,3,13,10,18,22,2,14,7,21,9,16,19,11,4,15,6,4.91666666666667,3.3,"high_verbal"
"25","79970",2022-10-01 01:09:39,2022-10-01 01:25:17,0,"71.90.86.72",100,937,1,2022-10-01 01:25:17,"R_3KYIFGFt8plmD5j",43.0812,-89.3845,"anonymous","EN",1,1,1,4,"-999",2,4,2,"-999",2,-999,2,"-999",4,5,2,"-999",2,"-999",4,1,2,3,4,4,1,3,5,4,75,60,85,1,2,3,4,5,1,2,1,5,5,4,5,5,5,1,5,2,2,2,5,5,5,10,13,14,4,8,7,9,6,19,16,11,3,2,17,1,12,15,5,18,2,1,"-999",21,4,"Liberal arts transfer program","Waitress and photographer","That was fun to think about! I live alone for the first time in my life and I've noticed talk to myself in my head quite a bit. I enjoy talking out loud to myself sometimes. If someone really funny or crazy happens when I'm watching something I respond outloud occasionally. I think I do this more when I watch youtube because it can feel like the person is talking directly to me. I think I talk back more when I (allegedly) smoke weed. I think I talk out loud more in general when I allegedly have thc in my system. I love being around people but I rarely feel lonely even though I'm seeing people a lot less now that I live alone. I wonder if the way I have conversations with myself is part of the reason I don't get lonely? I really enjoy my own company and find myself quite funny. When I am sad/anxious/lonely I like to imagine myself holding me (sometimes kid me) and kissing my own forehead and telling myself it will all be okay. It works really well for me. Also, growing up my parents weren't super strict and I've always been my harshest critic so I wonder if that's why I never hear their voices saying stuff to me?","sona","UymiJiZrTrjLlVeTOvDd",13,19,5,12,3,8,21,11,14,18,2,15,16,7,10,9,17,20,1,4,22,6,4.58333333333333,3.8,"high_verbal"
"26","80016",2022-10-04 02:59:37,2022-10-04 05:20:56,0,"72.33.2.127",100,8479,1,2022-10-04 05:20:56,"R_27UyQR6YO3ffwzx",43.0812,-89.3845,"anonymous","EN",1,1,1,4,"-999",3,4,4,"-999",4,-999,3,"-999",4,4,4,"-999",1,"It's like a combination of all of my senses",4,1,3,3,4,4,2,4,4,5,83,60,64,1,2,3,2,5,4,5,4,5,5,5,4,5,2,5,5,2,5,5,4,2,5,7,6,13,4,12,17,3,16,1,8,14,5,11,10,18,2,19,15,9,1,1,"-999",18,3,NA,"Student","-999","sona","ItXQHmnrTrJooWskbqep",11,20,5,12,21,8,16,10,13,18,2,1,17,7,3,9,15,19,22,4,14,6,4.66666666666667,4.3,"high_verbal"
"27","80050",2022-10-01 18:18:18,2022-10-01 18:22:07,0,"72.33.2.43",100,229,1,2022-10-01 18:22:07,"R_rrISMlFmu7nE6aJ",43.0812,-89.3845,"anonymous","EN",1,1,1,3,"-999",2,4,3,"-999",3,-999,3,"-999",4,4,4,"-999",2,"-999",3,1,2,3,4,2,5,2,5,2,69,84,85,1,2,3,4,2,3,4,4,2,4,4,3,2,3,4,3,5,1,3,3,1,5,3,2,1,16,9,13,4,10,15,12,5,17,11,6,18,19,7,14,8,1,1,"-999",19,2,NA,"Student","-999","sona","EKqeIWRrTrZzPrOsRWON",17,20,5,11,10,8,15,1,12,19,21,13,2,7,14,9,3,18,16,4,22,6,2.83333333333333,3.2,"low_verbal"
