"","workerId","VerbalScored"
"1","A22HIX1M4QXZBB",4.58
"2","A304UJAE051J89",4.75
"3","ATU582WJWMEL2",4.83
"4","A2T675UCHNTSSW",2
"5","A2QTL039A5VV3I",1.83
"6","A1QM5M345G57PU",4
"7","A1U5FQ8OW5UCZR",4.25
"8","A2MMWPTR6X2PL6",2.5
"9","A1BM57TUNAQIXM",2.17
"10","A2OVWCQ4B9AHFY",2.42
"11","A1ACXKVOUQ19DX",2
"12","A2JME2H8YSM0OZ",3.5
"13","A1P2RQ166VS5BT",2.42
"14","A37JC45Y9GLSA7",2.42
"15","AJACXA5FC5BYZ",4.25
"16","AXPZAP62ZYWP8",3.83
"17","A27VFM67RPD2L5",4
"18","A3H7WFRISBGM1K",2.33
"19","ANYB94DHDJKNO",4.5
"20","A3L0DCUXI7X3A9",3.75
"21","A2S2QT705DCD80",2.75
"22","A1DAE5BXJ5ED9O",3.33
"23","A3W0HQHLD5XTS7",3.67
"24","A2WJMGV0HKQG3Z",4.67
"25","A1XKXYY27WP8EX",2.5
"26","A2EGP04PEJIIEE",3.25
"27","A2RMJNF6IPI42F",4.42
"28","A30FDMYF959E69",4.08
"29","A20SV2JD0WUWV3",4.25
"30","A22JUZF4ZNSNNC",3.5
"31","AL27L5KODGX3H",4
"32","A35CHBMYRAXDNZ",1.5
"33","A2Z771VXMLRYTR",3.92
"34","A2R93OEJ9TOWV6",2.42
"35","A2CT3RNCO1OM72",4
"36","A1SXGBPTIWBPI6",4.17
"37","AZX9SQ6Q69LJ8",3.75
"38","A18R8VOH72BF3L",3.33
"39","A2ZRO9BP4BW5QR",3.92
"40","A2PQDK3MLDFXYM",4
"41","A1SQG9MJDO7OPM",3.67
"42","A2MOKIEQZ0OF2M",4.92
"43","A3J2UG22S8BIW4",3.92
"44","AOS2PVHT2HYTL",4.08
"45","APJPQ6IW85JL6",4.33
"46","AKNBC1TE88NDO",4
"47","A3RS595PZXE9AT",3.75
"48","AJQ71YIGY01HZ",4.33
"49","AOOLS8280CL0Z",2.83
"50","AQ8TJLOZRYS2V",4.25
"51","AS5VETUF7QGLL",4.17
"52","A2YC6PEMIRSOAA",3.33
"53","A3B8B0FGJXH58K",4
"54","A21DBLL90809VK",4.08
"55","A3QXFWX1PVH5MJ",3
"56","A1TW2BZRRS874Z",4.08
"57","A2RR41L4V3RUOV",4
"58","A1X87R9U7SWTGJ",3.58
"59","A1DUPOUC9RNU4L",2.25
"60","A1RUBSQBBOJHPO",3.83
"61","A28C4YC9WPNYG2",3.58
"62","AMNM3F2XO847S",3.33
"63","A2RREI7Z5EVR2X",3.92
"64","A1S4DO76IOZ0L8",4.42
"65","ADD4CIDYCKN66",3.5
"66","AFM65NU0UXIGP",2.83
"67","A75HJLMVANNZD",3.67
"68","A15XV3HYP99W8T",3.92
"69","AALJCRJFWLGZO",4.08
"70","A36BETX5G9BSZ2",4.08
"71","A1PNBO2A6UZXRC",3.5
"72","A8C3WNWRBWUXO",2.17
"73","A2EBGIJB58YN47",4.33
"74","AKWO0LSYVSBTE",3.42
"75","A1O4YE320W36HP",3.5
"76","A3V2XCDF45VN9X",3.67
"77","AK77EA1UZ8KJG",4.08
"78","A2UC3CDVQNVPQ8",4.08
"79","A26NGLGGFTATVN",3.25
"80","A1PUSSRD8P5HHH",2.67
"81","A3JC9VPPTHNKVL",2.5
"82","AOEDXO4FX2YFH",3.75
"83","A1E6WYKURJGIJM",4.25
"84","A1MXMSRSG60UXY",4.42
"85","A3QAL3X23LHJRV",3.67
"86","AO9WMBF58DBF4",3.92
"87","A3VZQ5UF89MH9T",4
"88","A2AAY4VT9L71SY",4.17
"89","ACUNR2VTDSRJU",4.33
"90","AQ1PTX596CKUH",3.83
"91","A2ESXCJ1NQ34NP",3.58
"92","A8UJNIY9R8S7W",3.83
"93","A89HSG51VTPP0",4.75
"94","A222GZB608T1B8",4.42
"95","A235DXY5FJN0IW",3.83
"96","A3HNEYFOIJWPH1",2.67
"97","A3E8GX5T7ZERPV",4.25
"98","A1H5Q9HRH4RPZU",3.5
"99","A3AMYSDM0UFLQY",2.92
"100","A1LYXQKD0Y2U8W",4.17
"101","A1Y8BGDLPNYP0K",3.5
"102","ADXHWQLUQBK77",3.33
"103","A2LPVNAJP8ZO0O",3.33
"104","A1YTBOZW6AJSYY",4.25
"105","A134UKUZ5CZ5XP",3.67
"106","A129V6A5AP00RR",3.83
"107","A341XKSRZ58FJK",4.17
"108","A14B0YCUB99SK9",2.75
"109","A2BNOEYZ3VRW2R",3.42
"110","A1LENHSFWGC5EU",3.58
"111","A1PTH9KTRO06EG",4.5
"112","AD1ILDUXZHASF",2.92
"113","A2XS49LRNX8PD4",4.42
"114","A19O7OCARDFGDS",3.17
"115","A3CO5CQKQGP1D0",4.42
"116","AHZ7C7ETHYX3N",4.17
"117","A2AJ5QFNC9KF43",4.33
"118","AZNIEFUIVB2H0",3.58
"119","A1ZRK6K5JUPJAV",3.08
"120","A2TB4PAKPSQOME",3.33
"121","A2R8IV2PWFTY00",4.25
"122","A1H9Y8CYXMNWGI",3.5
"123","A2NQX5RO3ZQM6Y",4
"124","A2PYZXUHJIGPHX",3.83
"125","A2P65VCJIAZOYW",3.5
"126","AD767SR7PDZBJ",4.08
"127","A12D72T0QFZ0B0",3.33
"128","A3ADHMAWDD7M6V",3.42
"129","A25LSAI6X7VYC7",4.08
"130","A1ZPM04AMTA140",4.42
"131","AB09F0Q4T10TE",3.08
"132","A1R780RJYQ68GY",3.25
"133","A1AK3QDDZ2V7OP",4.25
"134","A163XFZG5BI0XU",4.08
"135","A19L8SNH73AX1Z",2.83
"136","A2C2WXXKJOLCZ2",4.17
"137","A3TDE0OPWADJJN",3.67
"138","ASVRLMDNQBUD9",3.58
"139","A1PZIN8H1VI6SY",4
"140","A68J20100VW4W",3.58
"141","A3MXI2O3JZ0TZH",4.67
"142","A12HZGOZQD5YK7",2.58
"143","AURYD2FH3FUOQ",1
"144","A2SH1ZSEUXFCL9",3.5
"145","A2O2WL2027NMRJ",3.67
"146","A1QFAV62Q768UO",3
"147","AIH56KS15E0CY",3.5
"148","A1K8QNLYYYX21W",3.17
"149","A1ROEDVMTO9Y3X",3.08
"150","AXQV0IUI1UBKR",4.17
"151","A2ZJAEL03VTZ8",3.42
"152","A30FUOPL8EUU9Z",3.75
"153","A1T2DNHW3MXNOX",4
"154","A2NDFVJ16H9UZP",4.25
"155","A3FNC8ELMK8YJA",1.75
"156","A1YPJV8HN5DF28",3.67
"157","A2NH0M42EMVJ76",4
"158","A1A0F0BAX3CDTF",4
"159","A3785TR8D5I81Q",4.17
"160","A36OFM4AUCL6T9",4.08
"161","A3E8SXH0BAYG85",3.17
"162","A6KB4VHCZYTY2",2.67
"163","A3M79JMJQZTP7H",3.83
"164","A34LSCB90T5KYE",3.92
"165","A3L4JI1S352HB8",3
"166","AXYH0X5CG9IV7",4.5
"167","A1KFLAIBG039ET",3.25
"168","A3MIDLO5S7FU06",4
"169","A11R8J2QF74P1R",3.92
"170","A2ST041VUNL4VZ",3.17
"171","A1K5FYRFJXP6OD",4.17
"172","AKRKSCSO3PAC6",3.08
"173","A32HFMZVTLF1JG",3.58
"174","A3EUH97BRHRSI6",3.58
"175","A1KP0NAHZZSK6P",3.58
"176","A3JUPCWYN6N6H4",4.17
"177","A2BW6WD7LZ9EGV",3.75
"178","A2FJH57EPE1B31",3.92
"179","A1L6IQNZY00VXJ",3.83
"180","A129ZL26EECX0B",3.42
"181","A3KF6O09H04SP7",3.33
"182","A10NGMT563G4QB",4.33
"183","A1YD90IM2UFZJI",4.42
"184","A1F9YL8VNOBVF1",3.17
"185","A1NLJ1L4VCQYV2",4.17
"186","A38R7SIVV118KT",3.5
"187","A174UDXE8Q08R9",3.08
"188","A1GKD3NG1NNHRP",3.25
"189","A222XCQ8SXJ3UL",3.42
"190","AGJLUYRQKL1I4",4
"191","A2NAKIXS3DVGAA",2.58
"192","A2OILB3NHQFTUK",3.58
"193","AKS4FB283J7WY",4
"194","A3KACB3ERCT0DG",4.33
"195","AFHISWL5M5QZ",3.42
"196","A3M8O363B3IAKE",3.83
"197","A3NJ8KV23QXPX6",4
"198","A2ABBHMXN2X63F",2.92
"199","ANA8HLS4U28ZY",3.58
"200","A1BVG13MHBM1YD",3.92
"201","A8028AFBBS29G",3.42
"202","A2FMPPWOXQN0GV",3.75
"203","AS6OM6T01H59I",3.33
"204","A2XT04FU0SVVMM",3.67
"205","AIV1PB1IW69JH",3.25
"206","A31WHUTX46FZ6",4.08
"207","A32F5OCTO30GD9",3.83
"208","A1ANE1156DB9C8",3.58
"209","A107RJSS561Y7R",4
"210","AP9WIQ4P78XLH",3.58
"211","ASCZFRBLTOTN4",3.33
"212","A29AF16RLMI0ES",4.58
"213","A1UBV2NP7OVDVV",2.17
"214","A23THJCA3UXKVB",3.42
"215","A46IWW0R7ADY2",3.5
"216","A49A0FF6ZXYDU",3.83
"217","AOADA34ZQHEUB",3.33
"218","AVCOBHDVXZOZL",3.08
"219","A26UIS59SY4NM6",4.75
"220","AI3MTR9YAYRNR",4.17
"221","A1SHLWKA0UH1IS",3.83
"222","A1NGGAVIGC9O7V",4.17
"223","A3VBUVGBQ74JJF",3.58
"224","A1K8VUKRL53OX",4.25
"225","AYRXC8YECJ8MN",3.08
"226","AHHH9A0OZ8ZA2",3.08
"227","AP0JPGLH4LVQO",3.58
"228","AV22FQTJNBUZT",1.58
"229","A28AYIPE4Z2HZM",3.5
"230","A1EUBMQ86K32XE",3.58
"231","A92OK8938MJWH",4.17
"232","A3TP7NJZHR6WZ1",3.58
"233","A5P12YJP805RG",2.17
"234","A16ELSE2AE80GP",4.17
"235","A2IAGMWHPAFGCT",3.5
"236","A247912DYESX7M",3.92
"237","A3KVKK1XLBTSN3",1.92
"238","A3MFDU2GFAZN6",3.67
"239","A36470UBRH28GO",3.83
"240","A2H2DJL45BZBD",4.08
"241","A2LM2V03XQYLVW",3.5
"242","A1WFRYUNUGBDB0",3.92
"243","A33BOEWG8U3BSH",4.25
"244","A2XO21W6WF9C3B",3.5
"245","A2F9PLRKSWR2P3",3.92
"246","AOAIUMGRE2JGF",3.58
"247","A1JHWA190CHOCD",4.33
"248","A1ZY3PAGTYJ24G",3.42
"249","ADJSQPKNLMJDZ",3.75
"250","A34XU29JWJ5ESR",4
"251","AKDW4KVJTZZU8",4.08
"252","A2NQR8NLH5P3IH",3.67
"253","A2TOI5511FFVNW",4.25
"254","AO00EVYL97MPI",4.08
"255","A17AF42SNQNH9C",3.42
"256","AS7JACTVT2CA0",3.08
"257","ARYL3C6N9SVV1",3.83
"258","A1RFJ547N8OUCO",3
"259","A2R75YFKVALBXE",3.42
"260","A1YINQ1DLUUAK1",4.17
"261","ANZDHR7BWDT32",4.08
"262","A2JIB9Q2QX3UIF",4.25
"263","A1OA4EQ0BQCAU7",3.42
"264","AXRDY6D16PVVH",3.58
"265","A1040KIQL1GCB1",3.5
"266","A1NAFXXC41I7NC",3.5
"267","A6WH1NN3V0DF",4.25
"268","A2OXVOAMGXV2OO",4
"269","ATH4SXUD9LR6J",4.42
"270","A3PEVWJ109QDEW",4.25
"271","A2I2HRXI7QGEM7",3.75
"272","A1GD5VPYDUBQ3I",4.25
"273","AIQM86IRETAJN",3.75
"274","A3KK1BNF5H0N1Z",3.08
"275","A2586CGL1GMJ6Q",3.83
"276","A11Z0K2OQ0QKZV",3.67
"277","A1V5ODE318UGSS",3.92
"278","A3HDVWZ1DD431Y",4
"279","A378DVZDTWCGQ7",2.83
"280","A2WDF40FA670T9",4.67
"281","A1VP4HOT25NC0Y",4.08
"282","A22SPPYNJ5CDZT",2.58
"283","A2USQHPK86UH8Y",3.58
"284","A3CAOGEVF4EHP0",3.08
"285","A3RVHUY67SVXQV",3.33
"286","A3GOLAH4XRSFRZ",3.75
"287","A2B1YSMEHN1G2K",3.83
"288","A2INXY39KBM92F",4.92
"289","A2YB18JHC2C7GF",1.83
"290","A15T9HDPHV3X7Q",1.33
"291","AVXEDARJC5HLU",3.5
"292","A1HWB810RJBV2K",3.08
"293","A1K61OKMPRZUML",3.58
"294","A250FES5PFCGK9",4.25
"295","A3OZ8KF0HWSVWK",4.17
"296","A2YO837C0O1E91",3.5
"297","A2A6FH0F7LD9ND",3.17
"298","A2LKGF193ZR5JP",4.08
"299","ASD51WJNZNBSM",3.83
"300","AZI7E2WXACDYI",3.67
"301","AOTSROWZG1XS1",3.67
"302","A1KOHXO0BIQB8T",4.08
"303","AD1FDB9A61LMS",4.67
"304","AM2XPIQDRJN93",3.67
"305","A636W64UVS8FC",3.92
"306","A2CVOAPAPF9GFP",4.58
"307","AAX9LTAOIBECD",3.67
"308","A11LSO6D7BMY99",3.5
"309","A2E0LU8V4EUX5C",3.5
"310","ASF5V3K4IFP4K",3.58
"311","AONESW9PHZCHO",2.67
"312","A1NKBIJQGT0712",3.92
"313","A10249252O9I20MRSOBVF",2.75
"314","AFRJKS3Z3H4CA",4
"315","A252KXBOR7PXYD",3.08
"316","A1M64R8HPYNNZA",4.75
"317","A1FMVUYV72MUO3",3.42
"318","A1NMKXK04PZ6KK",2.67
"319","A37OUZOGQKGMW0",3.08
"320","A1UOYHV53SXOGU",4.33
"321","A1O57XVTTB1PNZ",3.67
"322","A2UAUV6QKZWJZ1",3.33
"323","AU34T9OMHN4Z4",4.83
"324","ADP4KXZZ72DP",4.08
"325","A2VNWJU49OOVFC",3.17
"326","A1KOBLL83SICGQ",2.42
"327","A3UV55HC87DO9C",3.25
"328","A1JM5XNB4NCZR6",2.83
"329","A3FC9XLOI7A3YU",3.75
"330","A10BH9PYCYUKDJ",3.5
"331","A1F2APQMJSQVFK",4.17
"332","A1MPA87MVOBSDG",4
"333","A2RAOJRASU9THB",4.17
"334","A3CMWYLWMENHLZ",3.17
"335","A1K44LIKJZ9HTS",4.33
"336","A1198W1SPF1R4",2.75
"337","ADJ9I7ZBFYFH7",4.42
"338","AMFXGCUSKRPMH",3.17
"339","A1DSLUWW0J639Y",3.75
"340","A25PFSORDO3SWQ",3.25
"341","A1M9ED6NUDC9KV",3.33
"342","A3F51C49T9A34D",4.17
"343","A1PS4RHP4S0HMW",3.25
"344","AA4O2W236E3FW",4
"345","A2M183CETUMR96",2.25
"346","A18KSSU5N8UOWU",4.25
"347","A1WY3YGT618GC0",3.25
"348","A1VH8PFE3348JP",3.5
"349","A2L7BB71YOWYMG",4.5
"350","A3DTZGWFO3W3KG",4.17
"351","A1PBFDQR599N3K",4.08
"352","A1OY68B0ZXFMSA",3.33
"353","A3EA5TFZZVA1NW",3.58
"354","A1YZ0ETOCJO1B2",4.17
"355","A1T3BBDHGT346B",3.67
"356","A2Y0WNHMT4PZ4C",3.17
"357","ANHM8E4R44J4",4.42
"358","A1410CKYNR6OEL",3.67
"359","A1SISJL5ST2PWH",3
"360","A2KXJORVJ4DFK6",3.75
"361","AMI0SOF51O3FW",4.25
"362","A22DF0EWILGRLV",4.17
"363","A3Q7K9L23KGYC8",3.75
"364","AKSLU0C30G3JT",3.75
"365","A26B6SWLH19YX6",3
"366","ATG26IZHQX5H8",4.17
"367","A2OYFHRMYZ6HKV",4.5
"368","AHV4U78TUUDKI",3.92
"369","AOAZMLP27GD81",4
"370","A3PQVDFT21IISU",4.17
"371","A1KZ0KE93WNN5O",3.5
"372","A6OBT1RD68EMZ",3.67
"373","A2ZPSPA0R8KSL8",4.25
"374","A3EUGO4VR2N4G1",4
"375","ADY44EV3GCW85",1
"376","A1FWXJ1I0T1SG9",2.75
"377","A3F90N8YVKJ4I7",1.75
"378","A2H2LO1OOF8R5N",1.67
"379","A1S26U10C10581",3.5
"380","ADVCIFLB5A9B",3.58
"381","A39H9RIYRB5ZYV",4.58
"382","A24HJXAE17A1BX",4.08
"383","A2NVO55DO76R80",4.25
"384","A2WX434EAQOE29",2.58
"385","AW3DWJ0U9J2QX",4.17
"386","A38DXFI1TZA295",4.42
"387","A1O4Q0QVPVBF8M",5
"388","A26BQ33MHKVYFB",2.33
"389","A2QOB4FDI8ZHOB",4
"390","A397HP5TSIF2LO",4.17
"391","A39MKVROUZ1UWR",3.92
"392","A20C38AB8D6Z2L",4.33
"393","A1NGUY5K6K1HIV",4.08
"394","A248AJGYU25OE9",3
"395","ACK1HEO9MGFQL",4
"396","A36WGC00R5TWWB",3.75
"397","A2TCX20FIMNWSS",3.67
"398","AYY7JSAD0SGXL",3.75
"399","AKVDK30EEV08C",1.08
"400","APVZGZM1RA3AZ",3.25
"401","A2QNLENFW52IHJ",2.75
"402","A1E3Y8DJR2EQOC",3.08
"403","A3IOOW5SX3UDSG",3.42
"404","A4BDXOXC4D8FX",1.33
"405","AQKC1VIZAZ6VI",3.17
"406","A35TUIBF05DKM4",3.33
"407","A1N53V41FMCR7Q",2.92
"408","AT0COJ1G23ZB0",4.33
"409","A2OVOVZBJYUO",2.58
"410","A1ZLLYRW6GIVC7",4.08
"411","A289D98Z4GAZ28",2.5
"412","A5Q5LI20O3G60",2.67
"413","A2CF2BD4Q0ZDJN",3.92
"414","A324M5ZRHX7RUV",3.42
"415","A2V4DP31BEVABF",4.08
"416","A1WQACYPLESVGL",3.58
"417","AKR9067Q09RZS",5
"418","A2TDK0LD62WZ8Y",4
"419","AFFXVHHBUWW4D",5
"420","A1BYP5OP3OZUZH",4.5
"421","A34488HCARTJ82",4.67
"422","ASXSWSXQNVN42",5
"423","A1O67YS3DU0ZHX",4
"424","AYW62R027PUT1",3.75
"425","A2S64AUN7JI7ZS",4.5
"426","A11YS0T8MV3Q7C",3.83
"427","A24M9OW53CLT94",4.17
"428","AZ5ZYUCAQ0XDL",3.92
"429","A3CD3C99T8S6ON",4
"430","A2GOYSTIL3LOV1",4.25
"431","A17Q4QN6UE0EZC",4.08
"432","A3LVLZS8S41ZD7",3.83
"433","A1HYNGG8LZUV47",3.25
"434","A3T9WZOUQGE2UW",2.83
"435","A17JVWTPZEBHCE",3
"436","A1I7URHRM80OJ9",3
"437","A3SS0C4IVTSIFL",4.92
"438","A2STXZFG083AAB",3.33
"439","A2TXZVXQU5FQZ9",2.83
"440","A36GR8MUA34VW6",2.92
"441","A2EK1HDV4I4GSK",2.75
"442","A8KX1HFH8NE2Q",2.75
"443","A2PIFMM4Q2I9ZS",4.5
"444","A3774HPOUKYTX7",4.08
"445","A354DBQRJRODP1",3.33
"446","A35P5JYWFCCMDR",4.08
"447","AH56J7I291XL7",4.58
"448","AA402T4YY1S7N",3
"449","A1B9H14AV44C0G",3.75
"450","A3PRQ2GSU42718",4.17
"451","AT6LDQNLKTUSE",4.08
"452","A24FAL69IKL8RA",5
"453","A7OZPNXIVO1FX",4.33
"454","A27VK38SRSSHV3",3.08
"455","A3DUPRZSMU9W5R",2.58
"456","ALJ70B2J04YR7",4.17
"457","A2POU9TTW177VH",3
"458","A2J19EIW5MDXE9",3.58
"459","A28U7B76HLCS1U",4.08
"460","A1PHDT66U6IK4Q",3.17
"461","A4DX63Y26AY5B",3.75
"462","A2CY1TSQ3KKP5Q",2.83
"463","A3BWZ6V34W8SXX",3.5
"464","A23BWWRR7J5XLS",3.92
"465","A1V0JTFQA3X0HZ",3.92
"466","A2I960JYUZ8KAV",4.5
"467","A1V1JNPU0KOA3X",4
"468","A2615YW1YERQBO",2.58
"469","A9HIJETW998RR",4.17
"470","A2BOWE2IOS81SH",3.58
"471","AD3V6XGQWRD6E",4.33
"472","AHUGUDOPVRY7W",4.5
"473","ACI0C2WU1NABK",4.25
"474","A1N8TKTLXV92QR",3.5
"475","A15XIKX3PI7SLK",4.75
"476","A2KE139TQ886T3",4.5
"477","A1Q56N80RJLQ7S",2.5
"478","A2PWUACCQI97J8",4.92
"479","A3HHDPKL3O3O7Y",4.08
"480","ARQR5NIFA1AJ",4.58
"481","AXY0D2AMLKE2A",3.17
"482","AFK9ALQK5GPNG",3.17
"483","A3ITZNJQUTIZ4C",4
"484","A2866TYG0D96LM",4.33
"485","A3AUIYZ27TBTP9",4
"486","A3PLWSCPFLCEGI",2.5
"487","A2APG8MSLJ6G2K",3.92
"488","A3JZNUBAIASMKA",3.83
"489","A1GQRJVWSIT2RC",3.67
"490","A3CYHZ9BKS79E5",3.5
"491","A3K9GTQBOI7O5A",3.25
"492","A3CGQOJC28OVGN",3.42
"493","ATIVK9XUANIUE",4.17
"494","A9IYXJT90J0NK",3.33
"495","A2WPKP73S4MBLK",4.25
"496","A1VAL7L9L79IN0",4.67
"497","A1EJ4HA4K85PBJ",4
"498","A2GXLM74C7BDI8",4.67
"499","A36A780ODXBDEH",3.5
